name,address_line1,city,state,postal_code,owner_email,phone,type,description
Turmeric Trail Kitchen (Test Data),4700 W Park Blvd,Plano,TX,75093,owner3@test.com,+19725550150,north indian,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Saffron Alley Grill (Test Data),2200 N Central Expy,Plano,TX,75074,owner4@test.com,+19725550151,tandoori,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Marigold Masala House (Test Data),8000 Gaylord Pkwy,Frisco,TX,75034,owner3@test.com,+14695550152,south indian,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Monsoon Tiffin Co. (Test Data),2591 Preston Rd,Frisco,TX,75034,owner4@test.com,+14695550153,vegetarian,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Cardamom & Coriander (Test Data),5500 Greenville Ave,Dallas,TX,75206,owner3@test.com,+12145550154,chaat,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
The Chai Junction (Test Data),3699 McKinney Ave,Dallas,TX,75204,owner4@test.com,+12145550155,punjabi,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Peacock Thali House (Test Data),6688 N Central Expy,Dallas,TX,75206,owner3@test.com,+12145550156,biryani,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Banyan Leaf Kitchen (Test Data),2701 E Lamar Blvd,Arlington,TX,76006,owner4@test.com,+18175550157,hyderabadi,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Ginger Route Cafe (Test Data),4001 S Cooper St,Arlington,TX,76015,owner3@test.com,+18175550158,gujarati,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Tandoor Skyline (Test Data),3200 Camp Bowie Blvd,Fort Worth,TX,76107,owner4@test.com,+18175550159,tandoori,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Spice Caravan (Test Data),4200 South Hulen St,Fort Worth,TX,76109,owner3@test.com,+18175550160,north indian,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Lotus Curry Pot (Test Data),601 N Coit Rd,Richardson,TX,75080,owner4@test.com,+19725550161,south indian,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Rickshaw Roti Bar (Test Data),1200 E Belt Line Rd,Richardson,TX,75081,owner3@test.com,+19725550162,dosa,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Golden Mango Kitchen (Test Data),1100 S Josey Ln,Carrollton,TX,75006,owner4@test.com,+19725550163,vegetarian,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Pepper Trail Dosa Co. (Test Data),2540 Old Denton Rd,Carrollton,TX,75007,owner3@test.com,+19725550164,dosa,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Emerald Elephant Grill (Test Data),1650 W Eldorado Pkwy,McKinney,TX,75070,owner4@test.com,+14695550165,biryani,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
Sunrise Samosa Stop (Test Data),3901 Alma Dr,McKinney,TX,75070,owner3@test.com,+14695550166,chaat,"DEV/TEST DATA -- fictional restaurant seeded via scripts/data/dfw_multi_city_restaurants.csv for multi-city geo-search testing. Not a real business; do not treat as verified content."
